elbow_angle,shoulder_angle,hip_angle,knee_angle,label
104.54297756015724,36.95496759052648,63.510319925002136,168.92596591741338,bicep_curl
167.90135824570598,25.26365122901082,132.72919703931532,46.260661909378356,bicep_curl
176.60464131430356,24.26074529514069,138.85189991528495,54.092888041763466,bicep_curl
174.9919614098399,23.772903341045367,127.4696934657313,42.27116262818455,bicep_curl
168.8406104454748,27.52044501423271,148.99978353771985,65.24766827771468,bicep_curl
175.01355341081495,24.12078434886781,127.44689745219654,34.95665318261436,bicep_curl
177.17588479206663,22.166780098296723,139.7074972341144,57.02934814088689,bicep_curl
176.15978372734605,25.10381171315094,142.94231308108488,59.427051406409255,bicep_curl
178.63075627701346,22.32138853416167,130.84027134413884,45.678376251847645,bicep_curl
179.66567898676536,22.881573780916845,120.12994965544735,35.53971650003567,bicep_curl
177.7370849882121,21.46763058054351,128.74645324484825,42.883761319815314,bicep_curl
179.5818576173609,21.006263790704047,127.44548019793422,41.054019599842334,bicep_curl
179.658731049827,21.291860875767473,127.75841618019714,41.819076916309726,bicep_curl
176.9795850329321,23.685189444461727,127.45791176379817,42.26455977641744,bicep_curl
177.93623039647832,22.03223425007916,123.24066002926781,36.77999708174884,bicep_curl
177.79479793098636,19.585996201227854,101.19314345639242,10.800695804436813,bicep_curl
175.86191571790735,22.510924032731165,22.13710129285775,62.287931592703245,bicep_curl
166.53541623105957,22.460952447100038,5.267199918751014,81.32424249021108,bicep_curl
138.83394799541026,23.34175684276405,16.994198084598043,123.39021827923816,bicep_curl
148.59460743458158,24.577059611165385,21.31779477652247,62.32879393001347,bicep_curl
171.44228927361596,22.803381801032014,35.19240393035919,47.941335498492734,bicep_curl
154.71997218355583,22.211637755541314,1.3832937443533377,107.8625886127606,bicep_curl
173.5182276468015,18.66242188085247,39.336105305395414,72.2635692827292,bicep_curl
151.05666381113684,21.098732853234946,31.193560686133146,134.03760499294313,bicep_curl
147.40332771119608,16.893052083543438,22.29496681191166,147.50464218974128,bicep_curl
155.33336132271995,18.72750383185701,55.54704180313775,127.36090185057822,bicep_curl
162.24372387079936,18.5027162972639,68.54636423444133,63.362539913190325,bicep_curl
172.63235786476574,18.642784163798733,92.29990920868073,33.58195954246431,bicep_curl
171.8910505583649,20.362766671006355,93.74315365797588,40.13297916040808,bicep_curl
159.4009747094612,27.141267238810293,91.50772535301172,20.240456632982493,bicep_curl
149.15549303997375,27.843826835915724,119.01685528979806,14.381639861664032,bicep_curl
140.72509168129045,29.332051777494648,129.57264535507113,44.26323387693596,bicep_curl
140.88694425164613,28.93229738912619,122.91080866624117,38.28099917456298,bicep_curl
166.24946008918513,19.740529008423316,178.3967591745104,69.4952699639774,bicep_curl
152.6758518585952,30.198513418853633,137.7106630145318,53.453926538416994,bicep_curl
157.20964532587462,27.689384456086508,156.16702909055195,72.33653982247452,bicep_curl
167.3543592873741,22.312184057562565,162.16315287518634,78.35732486828779,bicep_curl
167.74483813174788,21.772845514705867,141.41258610354902,56.65508881062567,bicep_curl
170.99711001296254,20.20087354956497,129.91718724828044,43.97589787226188,bicep_curl
177.62415181214553,18.733575623253145,121.98677000986325,34.574012701261516,bicep_curl
177.28539342925754,20.942515958360158,123.97352806841135,37.417253136766796,bicep_curl
175.56212470491167,21.11795973155127,122.32170753072864,35.28057466240204,bicep_curl
172.92617189159853,20.689395828941883,119.30148473630612,32.79153787190126,bicep_curl
169.54779304776739,22.89115712096187,121.95645893298007,35.22153368813583,bicep_curl
165.35840987490155,23.77971572385262,123.48753415895834,31.953402310782096,bicep_curl
166.64924909484677,23.87054621325011,124.0486624694729,20.67303108459395,bicep_curl
167.75479049223117,24.178506221211695,125.69932258841558,30.101395417354563,bicep_curl
163.23546586345566,24.520765736536465,127.24824108526673,38.52437345844994,bicep_curl
156.12980887993507,25.129568547453708,127.66144774042266,40.09288765683993,bicep_curl
147.10191690385946,24.79154661846265,118.13304019030363,4.026253909101198,bicep_curl
118.63682798498942,23.813749947917298,128.7266037854293,26.502693948493718,bicep_curl
81.3994915231079,25.17205069370413,127.2959496107261,34.38981005037053,bicep_curl
56.985268316907124,26.78040322012211,126.71705894475235,26.57871411539151,bicep_curl
39.75969374478136,28.103359473476917,136.37023901897226,34.87270646937863,bicep_curl
23.8460294560789,32.607535663020634,135.75198248887946,45.712578400968,bicep_curl
23.359431401676957,34.49295498435478,139.09877849100454,51.3127036388266,bicep_curl
22.080459746782765,35.79561764016058,135.75383029880243,48.52255228913801,bicep_curl
24.801148404746545,34.26330278858754,130.10738882902902,43.44552315804642,bicep_curl
28.038352523691643,34.92683119908936,129.84943357838563,43.183986447721104,bicep_curl
29.034802234406772,33.87248812547735,131.5593155559595,18.211788861467973,bicep_curl
38.095530869035656,32.74855636132063,126.87061151157246,16.907100684694623,bicep_curl
57.17212177215272,28.54046911557103,134.80286110332955,28.672167871835544,bicep_curl
83.08051507720542,27.26014429824399,134.51891812652002,30.883582110842067,bicep_curl
98.87061336571152,25.202583612415417,129.55581677161663,27.374753369166104,bicep_curl
137.25743170175002,28.39046379801271,143.23968269794543,40.170087145127816,bicep_curl
156.44937027580892,25.862919266289868,133.49421556674548,38.800225521530486,bicep_curl
164.61130004058685,25.58478999314259,133.7589333731923,38.571754634729274,bicep_curl
166.34450668866253,25.04464983168512,130.53265806674332,39.694431199516785,bicep_curl
169.5316412975349,26.131322279061386,132.4705161896747,45.111115593388355,bicep_curl
169.90805927582056,26.403010238982294,129.77830125535684,42.69191896539274,bicep_curl
169.77775185043822,27.209418232637656,134.61575415225198,47.67323416461166,bicep_curl
164.75461074775305,25.564782588968068,133.679861101267,36.823343331357265,bicep_curl
150.86682331859416,27.67254998505165,132.10796938134888,24.533350945949863,bicep_curl
117.69214564938548,26.62395144273024,143.20307929343608,46.91853213302676,bicep_curl
73.31682956727072,23.66809864085952,133.2503368187992,33.90116342501741,bicep_curl
46.552987880038216,25.155413011507658,138.08900787810458,34.47554036149583,bicep_curl
31.873812407484333,30.435031712085518,135.334720169871,48.04682449541237,bicep_curl
27.901331366121312,31.26485698763864,140.10294248347003,52.655631764811346,bicep_curl
23.397009444925146,32.22064713689689,145.4299772895773,58.02278766853364,bicep_curl
18.59385216596884,31.430273714569804,147.38974022152337,59.32375960304806,bicep_curl
17.725059071205173,32.89057512883908,150.47828096820191,116.83697633166679,bicep_curl
16.959096490248434,32.813084038776054,149.72879028288645,62.208740337895875,bicep_curl
18.004006488514,32.28997970625207,146.84995541318452,59.415200001882475,bicep_curl
16.96057896986245,29.280872292911287,141.0528769264084,54.33227689358317,bicep_curl
21.2009986653838,30.71205098683794,142.6240492408467,56.158593287937364,bicep_curl
28.110048040770494,30.40355229108348,138.97070057948895,52.514706700847455,bicep_curl
29.103426345667724,27.74294583100685,141.42868355086966,47.08675291121729,bicep_curl
37.71284576175097,24.31196890175909,140.22045975770465,42.18361090906742,bicep_curl
34.816292492860796,23.717311587175537,148.24725103581974,48.30527013626794,bicep_curl
80.932147174993,27.923214136880407,136.88598587541958,37.64329185805797,bicep_curl
168.61885663118653,26.819777800750575,128.95938320088257,34.303034130145676,bicep_curl
169.49369101315935,25.305338024048343,130.31309057898704,36.014567999716355,bicep_curl
168.12262204281586,26.34165440876307,130.01244130539408,43.877807042750405,bicep_curl
168.2440196078487,26.156765870541488,126.50621414497485,36.472242714388656,bicep_curl
165.17075207278816,24.53922429432831,129.05993984414417,29.28581447292766,bicep_curl
165.17075207278816,24.53922429432831,129.05993984414417,29.28581447292766,bicep_curl
107.71810710258636,22.523007430665416,128.70537064869913,31.129391590081863,bicep_curl
107.71810710258636,22.523007430665416,128.70537064869913,31.129391590081863,bicep_curl
57.58123740040694,24.865974277040856,132.1482645905351,28.40658680478684,bicep_curl
34.30679455496815,25.233221574271255,133.12124678958176,27.857369982625507,bicep_curl
28.45544509736999,30.17449122925486,139.10798946103185,52.69763989739401,bicep_curl
23.18974736046813,32.73244460027588,149.42592947646068,62.25631153261904,bicep_curl
18.21038567774074,33.670316871065616,141.80162981589737,54.34953475345712,bicep_curl
18.21038567774074,33.670316871065616,141.80162981589737,54.34953475345712,bicep_curl
24.27132697803295,32.911426250502934,138.82423139919393,51.10861379195655,bicep_curl
30.485671953359553,30.947796689941157,131.29793421073066,42.74667406524293,bicep_curl
30.485671953359553,30.947796689941157,131.29793421073066,42.74667406524293,bicep_curl
45.81889361928445,27.467146211898385,123.49710257472537,2.729134711325953,bicep_curl
80.8196424133178,24.055870205686254,131.93823588619452,26.986006233206364,bicep_curl
118.8988486252598,20.034632277358984,153.58882812512255,61.55556286527696,bicep_curl
145.98261070744192,22.050353189180257,148.13891054606253,60.978478748444246,bicep_curl
153.23659750913274,16.571459586804686,145.1447401546576,53.899289837994154,bicep_curl
156.01600479811444,17.86060698010855,125.59847200986408,37.5344671623376,bicep_curl
153.90042709388666,17.68306335273038,125.67103131467883,38.335570993779356,bicep_curl
158.6590453130953,19.594262966725957,125.27224630811634,29.098165437526497,bicep_curl
156.37956832736657,14.730900584218604,141.33775102985595,53.27315597591875,bicep_curl
159.76059026189955,13.226342827699005,134.6468005178999,44.07804265590556,bicep_curl
156.3435799023213,10.98290115033819,135.95840851723096,46.42874838875418,bicep_curl
155.83930744530443,11.308680178040726,145.0914336299105,54.78510782377603,bicep_curl
146.4346560303502,16.43804155053661,150.2770531261324,60.05631790623329,bicep_curl
128.06900489810556,15.961495200072976,148.72232075833827,58.79553790995626,bicep_curl
99.49079788906892,11.182172317655041,148.60216233669726,58.20538642440598,bicep_curl
